FORTALEZA (A305);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/01/2017;0000;27,6;27,7;27,6;71,0;72,0;71,0;21,9;22,2;21,9;1009,0;1009,0;1008,5;2,1;104,0;5,9;;0,0;
01/01/2017;0100;27,5;27,7;27,5;72,0;72,0;71,0;22,1;22,1;21,9;1009,1;1009,1;1009,0;2,3;101,0;6,9;;0,0;
01/01/2017;0200;27,4;27,6;27,3;75,0;75,0;72,0;22,6;22,6;22,1;1009,1;1009,2;1009,0;2,6;107,0;6,9;;0,0;
01/01/2017;0300;27,4;27,4;27,3;76,0;76,0;75,0;22,8;22,8;22,5;1008,7;1009,1;1008,6;3,2;105,0;7,0;;0,0;
01/01/2017;0400;27,1;27,4;27,1;76,0;77,0;76,0;22,6;22,8;22,6;1007,8;1008,7;1007,8;2,2;105,0;7,0;;0,0;
01/01/2017;0500;27,0;27,1;26,9;75,0;77,0;75,0;22,1;22,6;22,1;1007,5;1007,8;1007,5;2,9;111,0;6,6;;0,0;
01/01/2017;0600;26,8;27,1;26,8;76,0;76,0;74,0;22,3;22,3;22,0;1007,2;1007,5;1007,2;1,9;115,0;6,6;;0,0;
01/01/2017;0700;26,7;26,9;26,7;77,0;77,0;76,0;22,3;22,4;22,3;1007,1;1007,2;1007,0;1,9;114,0;5,3;;0,0;
01/01/2017;0800;26,7;26,8;26,6;78,0;78,0;77,0;22,5;22,6;22,3;1007,6;1007,6;1007,0;1,5;135,0;4,3;;0,0;
01/01/2017;0900;26,7;26,7;26,5;78,0;79,0;78,0;22,5;22,6;22,5;1008,1;1008,1;1007,6;1,8;132,0;3,8;16,23;0,0;
01/01/2017;1000;27,5;27,5;26,7;75,0;78,0;75,0;22,7;23,0;22,5;1008,7;1008,7;1008,1;2,3;128,0;5,5;333,07;0,0;
01/01/2017;1100;28,6;29,1;27,5;70,0;76,0;67,0;22,6;23,0;21,8;1009,1;1009,1;1008,7;3,3;136,0;9,8;983,53;0,0;
01/01/2017;1200;29,8;29,8;28,4;66,0;71,0;66,0;22,6;23,1;21,6;1009,3;1009,4;1009,1;2,6;129,0;9,8;1143,00;0,0;
01/01/2017;1300;30,7;31,1;29,4;58,0;65,0;57,0;21,4;22,8;21,3;1009,5;1009,5;1009,3;3,5;122,0;7,7;1637,89;0,0;
01/01/2017;1400;31,2;31,6;30,2;56,0;59,0;54,0;21,3;21,9;20,6;1009,2;1009,5;1009,2;4,2;106,0;10,3;2557,06;0,0;
01/01/2017;1500;31,6;32,0;31,1;53,0;56,0;51,0;20,8;21,7;20,4;1008,7;1009,2;1008,7;4,5;111,0;10,1;2898,67;0,0;
01/01/2017;1600;31,9;32,4;31,2;51,0;53,0;49,0;20,6;21,0;19,9;1007,8;1008,7;1007,8;5,0;111,0;10,7;2810,96;0,0;
01/01/2017;1700;31,8;32,4;31,5;50,0;52,0;48,0;20,1;20,7;19,7;1006,8;1007,8;1006,7;4,1;99,0;10,7;2553,38;0,0;
01/01/2017;1800;31,1;32,0;31,0;53,0;54,0;49,0;20,4;20,9;19,5;1006,1;1006,8;1006,1;4,4;102,0;11,4;2174,69;0,0;
01/01/2017;1900;30,7;31,6;30,5;56,0;56,0;50,0;20,8;21,0;19,8;1005,6;1006,2;1005,6;4,5;92,0;10,5;1571,88;0,0;
01/01/2017;2000;29,6;31,0;29,6;62,0;62,0;55,0;21,5;21,5;20,6;1006,0;1006,0;1005,5;3,6;82,0;10,5;981,69;0,0;
01/01/2017;2100;28,3;29,7;28,3;68,0;68,0;61,0;21,9;22,0;21,3;1006,5;1006,5;1006,0;2,6;77,0;8,2;175,30;0,0;
01/01/2017;2200;27,8;28,3;27,8;74,0;74,0;68,0;22,7;22,7;21,9;1007,5;1007,5;1006,5;2,6;89,0;7,1;;0,0;
01/01/2017;2300;27,6;27,8;27,6;76,0;76,0;74,0;23,0;23,0;22,7;1008,1;1008,1;1007,5;2,0;83,0;6,2;;0,0;
02/01/2017;0000;27,5;27,6;27,5;77,0;77,0;76,0;23,1;23,2;23,0;1009,0;1009,0;1008,1;2,0;92,0;5,7;;0,0;
02/01/2017;0100;27,6;27,6;27,3;76,0;78,0;76,0;22,9;23,1;22,9;1009,4;1009,4;1009,0;2,3;90,0;5,3;;0,0;
02/01/2017;0200;27,5;27,6;27,5;76,0;77,0;76,0;23,0;23,1;22,9;1009,7;1009,8;1009,4;2,5;94,0;6,8;;0,0;
02/01/2017;0300;27,4;27,5;27,4;77,0;77,0;76,0;23,0;23,1;22,9;1009,3;1009,7;1009,3;2,2;99,0;6,0;;0,0;
02/01/2017;0400;27,2;27,4;27,1;77,0;77,0;77,0;22,7;23,0;22,7;1008,9;1009,4;1008,9;3,1;93,0;6,2;;0,0;
02/01/2017;0500;27,0;27,3;26,9;78,0;78,0;76,0;22,9;22,9;22,6;1008,3;1008,9;1008,3;1,9;95,0;6,2;;0,0;
02/01/2017;0600;26,9;27,1;26,9;77,0;78,0;77,0;22,6;22,9;22,6;1007,7;1008,3;1007,7;2,7;99,0;5,9;;0,0;
02/01/2017;0700;26,8;27,0;26,7;78,0;78,0;77,0;22,5;22,7;22,5;1007,6;1007,7;1007,4;2,4;102,0;5,9;;0,0;
02/01/2017;0800;26,5;26,8;26,5;77,0;78,0;77,0;22,2;22,5;22,2;1007,5;1007,6;1007,4;1,7;117,0;4,6;;0,0;
02/01/2017;0900;26,3;26,5;26,2;78,0;78,0;77,0;22,2;22,2;22,0;1008,0;1008,1;1007,5;1,3;118,0;4,9;11,70;0,0;
02/01/2017;1000;27,4;27,4;26,3;74,0;78,0;74,0;22,3;22,4;22,1;1008,6;1008,6;1008,0;2,0;138,0;4,0;290,51;0,0;
02/01/2017;1100;28,8;29,2;27,4;66,0;74,0;65,0;21,8;22,9;21,6;1008,9;1008,9;1008,5;3,4;129,0;6,9;1012,64;0,0;
02/01/2017;1200;30,0;30,1;28,8;61,0;66,0;60,0;21,7;21,9;20,9;1009,0;1009,0;1008,9;2,7;115,0;7,6;1494,30;0,0;
02/01/2017;1300;30,4;30,8;29,5;58,0;62,0;56,0;21,2;22,0;20,6;1009,1;1009,2;1009,0;3,8;93,0;8,7;1741,35;0,0;
02/01/2017;1400;31,4;31,7;29,8;50,0;59,0;50,0;19,7;21,9;19,7;1008,8;1009,2;1008,8;3,4;103,0;7,2;2359,80;0,0;
02/01/2017;1500;30,9;32,2;30,9;53,0;55,0;48,0;20,2;21,0;19,3;1008,3;1008,8;1008,3;4,1;92,0;9,0;2596,88;0,0;
02/01/2017;1600;30,7;31,2;30,5;55,0;56,0;52,0;20,6;20,9;19,9;1007,5;1008,3;1007,5;3,6;89,0;9,0;2091,75;0,0;
02/01/2017;1700;30,6;31,4;30,2;55,0;59,0;53,0;20,5;21,4;20,1;1006,6;1007,5;1006,6;3,7;80,0;8,7;1936,85;0,0;
02/01/2017;1800;29,6;30,9;29,4;60,0;61,0;52,0;20,9;21,2;19,6;1006,0;1006,6;1005,9;3,1;65,0;7,6;1203,59;0,0;
02/01/2017;1900;29,1;29,8;29,0;63,0;63,0;58,0;21,3;21,4;20,6;1006,0;1006,1;1005,8;2,9;60,0;6,6;896,11;0,0;
02/01/2017;2000;28,3;29,4;28,2;69,0;69,0;63,0;22,1;22,1;21,3;1006,2;1006,2;1006,0;2,4;65,0;6,3;420,95;0,0;
02/01/2017;2100;27,6;28,3;27,6;74,0;74,0;69,0;22,4;22,4;22,1;1006,8;1006,8;1006,2;1,8;69,0;5,3;113,52;0,0;
02/01/2017;2200;27,4;27,6;27,4;76,0;76,0;74,0;22,7;22,7;22,4;1007,3;1007,3;1006,8;1,7;69,0;5,4;;0,0;
02/01/2017;2300;27,2;27,5;27,2;76,0;77,0;75,0;22,6;22,8;22,6;1007,7;1007,7;1007,3;1,5;75,0;4,8;;0,0;
03/01/2017;0000;27,0;27,2;27,0;77,0;77,0;76,0;22,6;22,7;22,5;1008,3;1008,3;1007,7;1,7;92,0;4,3;;0,0;
03/01/2017;0100;27,1;27,1;26,9;75,0;77,0;75,0;22,2;22,7;22,2;1008,5;1008,6;1008,3;2,4;97,0;6,8;;0,0;
03/01/2017;0200;27,0;27,1;26,8;75,0;76,0;74,0;22,2;22,2;22,0;1008,5;1008,8;1008,5;1,8;105,0;5,9;;0,0;
03/01/2017;0300;26,6;27,1;26,6;78,0;78,0;75,0;22,5;22,5;22,2;1008,3;1008,5;1008,3;1,5;99,0;5,2;;0,0;
03/01/2017;0400;26,7;26,8;26,5;78,0;79,0;78,0;22,6;22,6;22,4;1007,7;1008,3;1007,7;1,5;104,0;5,1;;0,0;
03/01/2017;0500;26,9;26,9;26,6;76,0;78,0;76,0;22,4;22,6;22,3;1007,5;1007,7;1007,5;1,7;91,0;4,9;;0,0;
03/01/2017;0600;26,1;26,9;25,9;81,0;82,0;76,0;22,6;22,7;22,4;1007,4;1007,6;1007,3;1,8;99,0;5,9;;0,0;
03/01/2017;0700;26,4;26,4;26,1;79,0;81,0;79,0;22,4;22,6;22,3;1007,5;1007,6;1007,4;2,5;105,0;4,7;;0,0;
03/01/2017;0800;26,1;26,4;26,1;78,0;79,0;78,0;22,0;22,4;22,0;1007,9;1007,9;1007,5;1,6;106,0;4,7;;0,0;
03/01/2017;0900;26,1;26,1;25,8;79,0;80,0;78,0;22,2;22,2;21,9;1008,4;1008,4;1007,9;1,3;108,0;3,7;8,71;0,0;
03/01/2017;1000;26,5;26,9;26,1;79,0;79,0;78,0;22,6;22,9;22,2;1008,9;1008,9;1008,4;1,8;104,0;5,3;197,03;0,8;
03/01/2017;1100;27,7;27,9;26,2;78,0;81,0;75,0;23,6;23,8;22,5;1009,2;1009,2;1008,8;2,2;116,0;5,8;815,14;0,0;
03/01/2017;1200;28,8;29,0;27,6;72,0;78,0;71,0;23,2;23,6;22,8;1009,5;1009,5;1009,1;3,0;116,0;6,3;989,83;0,0;
03/01/2017;1300;29,1;30,1;28,5;65,0;73,0;65,0;21,8;23,9;21,8;1009,6;1009,7;1009,5;3,1;125,0;7,8;1706,31;0,0;
03/01/2017;1400;29,7;31,0;29,1;64,0;67,0;62,0;22,2;23,5;21,6;1009,4;1009,6;1009,3;3,5;104,0;7,8;1798,26;0,0;
03/01/2017;1500;30,5;31,3;29,6;62,0;64,0;60,0;22,3;23,2;21,8;1008,8;1009,4;1008,8;4,4;110,0;9,4;2818,84;0,0;
03/01/2017;1600;31,0;31,1;30,1;58,0;64,0;58,0;21,7;22,9;21,4;1008,4;1008,9;1008,3;4,4;92,0;9,4;2360,29;0,0;
03/01/2017;1700;30,3;31,4;29,9;60,0;63,0;58,0;21,8;22,9;21,4;1007,7;1008,4;1007,7;4,5;100,0;9,4;2223,64;0,0;
03/01/2017;1800;29,9;31,2;29,7;63,0;63,0;59,0;22,0;22,8;21,4;1006,7;1007,8;1006,7;4,1;98,0;9,4;1778,82;0,0;
03/01/2017;1900;29,2;30,4;29,0;66,0;68,0;61,0;22,1;22,6;21,8;1006,6;1006,8;1006,5;3,5;102,0;9,9;1219,67;0,0;
03/01/2017;2000;27,9;29,2;27,9;72,0;73,0;66,0;22,5;22,6;22,0;1007,0;1007,2;1006,6;3,4;97,0;9,1;462,97;0,0;
03/01/2017;2100;27,6;28,1;27,6;74,0;74,0;72,0;22,5;22,9;22,4;1007,8;1007,8;1007,0;3,0;90,0;7,4;122,05;0,0;
03/01/2017;2200;27,5;27,6;27,4;74,0;75,0;74,0;22,5;22,7;22,5;1008,4;1008,4;1007,8;3,7;91,0;7,6;;0,0;
03/01/2017;2300;27,2;27,5;27,2;75,0;75,0;74,0;22,5;22,7;22,4;1008,7;1008,7;1008,3;2,5;99,0;7,5;;0,0;
04/01/2017;0000;27,4;27,4;27,2;76,0;76,0;75,0;22,8;22,8;22,5;1009,4;1009,4;1008,7;2,7;93,0;5,6;;0,0;
04/01/2017;0100;27,2;27,4;27,2;77,0;77,0;76,0;22,9;22,9;22,7;1009,6;1009,6;1009,4;1,7;86,0;5,0;;0,0;
04/01/2017;0200;27,2;27,4;27,2;78,0;78,0;77,0;23,0;23,1;22,9;1009,8;1009,9;1009,6;1,9;95,0;5,1;;0,0;
04/01/2017;0300;26,3;27,3;26,3;83,0;83,0;77,0;23,2;23,2;22,8;1009,4;1009,8;1009,4;1,5;116,0;6,0;;0,8;
04/01/2017;0400;25,9;26,3;25,8;87,0;87,0;83,0;23,5;23,5;23,2;1008,9;1009,4;1008,8;0,7;81,0;3,4;;0,6;
04/01/2017;0500;25,4;25,9;25,4;87,0;88,0;87,0;23,1;23,7;23,1;1008,4;1008,9;1008,3;1,7;106,0;4,3;;0,0;
04/01/2017;0600;25,6;25,6;25,3;88,0;88,0;87,0;23,5;23,5;23,0;1008,0;1008,5;1007,8;0,4;104,0;3,9;;0,6;
04/01/2017;0700;25,2;25,8;25,0;87,0;88,0;87,0;22,9;23,6;22,7;1008,2;1008,2;1007,9;1,3;141,0;4,7;0,35;0,4;
04/01/2017;0800;25,1;25,5;25,0;89,0;89,0;87,0;23,1;23,4;22,8;1008,3;1008,5;1008,2;0,8;69,0;4,7;;4,2;
04/01/2017;0900;25,5;25,5;25,1;89,0;89,0;89,0;23,7;23,7;23,1;1009,0;1009,0;1008,3;0,2;150,0;1,7;36,40;0,0;
04/01/2017;1000;26,6;26,6;25,5;88,0;90,0;88,0;24,5;24,6;23,6;1009,7;1009,7;1009,0;1,5;128,0;5,0;421,55;0,0;
04/01/2017;1100;27,2;27,5;26,4;83,0;88,0;83,0;24,0;24,9;24,0;1010,1;1010,1;1009,7;2,3;131,0;5,0;669,42;0,0;
04/01/2017;1200;28,9;28,9;27,2;76,0;83,0;76,0;24,3;24,4;23,6;1010,4;1010,4;1010,1;3,3;106,0;8,1;1058,99;0,0;
04/01/2017;1300;30,2;30,3;28,6;68,0;76,0;68,0;23,6;24,2;23,0;1010,3;1010,5;1010,2;3,6;110,0;9,1;1748,75;0,0;
04/01/2017;1400;30,7;30,8;29,5;68,0;70,0;64,0;24,1;24,2;22,7;1010,1;1010,4;1010,0;4,0;115,0;10,4;2460,16;0,2;
04/01/2017;1500;29,6;30,7;29,3;67,0;68,0;64,0;22,9;23,3;22,1;1009,5;1010,1;1009,4;4,7;99,0;10,0;1591,25;0,0;
04/01/2017;1600;29,3;29,9;28,9;68,0;69,0;64,0;22,8;23,0;22,0;1009,1;1009,5;1009,0;3,9;99,0;11,4;1220,71;0,0;
04/01/2017;1700;30,5;30,8;29,1;64,0;69,0;62,0;22,8;23,6;22,3;1008,3;1009,0;1008,2;4,2;111,0;9,3;2385,15;0,0;
04/01/2017;1800;30,2;30,6;29,9;63,0;68,0;62,0;22,4;23,6;22,2;1007,6;1008,3;1007,6;4,5;88,0;9,5;2224,25;0,0;
04/01/2017;1900;29,1;30,2;29,1;68,0;68,0;62,0;22,6;22,9;22,1;1007,5;1007,6;1007,4;4,1;95,0;9,5;1300,95;0,0;
04/01/2017;2000;28,4;29,1;28,3;70,0;72,0;68,0;22,5;22,8;22,0;1007,7;1007,7;1007,4;3,1;87,0;8,5;470,23;0,0;
04/01/2017;2100;27,7;28,4;27,7;75,0;75,0;70,0;22,8;22,8;22,5;1008,0;1008,0;1007,7;3,0;92,0;7,5;178,79;0,0;
04/01/2017;2200;27,3;27,7;27,3;78,0;78,0;75,0;23,2;23,2;22,8;1008,4;1008,4;1008,0;2,6;94,0;6,2;;0,0;
04/01/2017;2300;27,2;27,3;27,1;78,0;79,0;78,0;23,0;23,3;23,0;1008,7;1008,8;1008,4;2,3;99,0;5,0;;0,0;
05/01/2017;0000;27,3;27,3;27,2;79,0;79,0;78,0;23,2;23,2;23,0;1009,1;1009,1;1008,7;2,6;96,0;6,7;;0,0;
05/01/2017;0100;27,2;27,3;27,2;78,0;79,0;78,0;23,2;23,3;23,1;1009,2;1009,2;1009,0;3,3;97,0;7,3;;0,0;
05/01/2017;0200;27,1;27,3;27,1;78,0;78,0;77,0;23,0;23,2;22,8;1008,8;1009,1;1008,8;3,1;99,0;8,5;;0,0;
05/01/2017;0300;27,1;27,1;27,0;78,0;79,0;78,0;22,9;23,2;22,8;1008,4;1008,9;1008,4;3,7;95,0;8,2;;0,0;
05/01/2017;0400;26,9;27,1;26,9;78,0;79,0;77,0;22,7;23,1;22,7;1007,9;1008,5;1007,9;2,8;105,0;9,5;;0,0;
05/01/2017;0500;27,0;27,1;26,9;77,0;78,0;77,0;22,5;22,8;22,5;1007,8;1008,0;1007,7;2,7;105,0;8,9;;0,0;
05/01/2017;0600;26,9;27,0;26,9;76,0;78,0;76,0;22,4;22,7;22,4;1007,5;1007,8;1007,4;3,1;108,0;7,8;;0,0;
05/01/2017;0700;26,6;26,9;26,5;78,0;78,0;76,0;22,5;22,7;22,3;1007,5;1007,6;1007,5;2,0;115,0;7,8;;0,0;
05/01/2017;0800;26,5;26,7;26,5;79,0;79,0;78,0;22,7;22,7;22,5;1007,9;1007,9;1007,5;1,4;118,0;5,6;;0,0;
05/01/2017;0900;25,5;26,6;25,5;85,0;85,0;79,0;22,8;22,8;22,3;1008,5;1008,5;1007,9;0,4;165,0;5,4;6,06;0,2;
05/01/2017;1000;25,3;25,7;25,3;86,0;87,0;85,0;22,8;23,3;22,8;1009,4;1009,4;1008,5;1,8;166,0;4,6;248,05;1,0;
05/01/2017;1100;26,4;26,6;25,3;81,0;86,0;81,0;23,0;23,4;22,7;1010,0;1010,0;1009,4;1,8;161,0;6,2;499,08;0,2;
05/01/2017;1200;28,0;28,5;26,3;69,0;82,0;69,0;21,8;23,7;21,8;1010,1;1010,1;1009,9;3,2;146,0;7,4;1384,91;0,0;
05/01/2017;1300;29,6;29,7;28,0;64,0;71,0;63,0;22,0;23,0;21,5;1009,9;1010,2;1009,9;2,6;127,0;7,4;1699,64;0,0;
05/01/2017;1400;30,6;31,1;29,4;57,0;64,0;57,0;21,2;22,6;21,2;1009,6;1009,9;1009,6;3,6;117,0;8,3;2473,23;0,0;
05/01/2017;1500;31,1;31,6;30,6;52,0;59,0;51,0;20,3;21,9;20,0;1009,1;1009,7;1009,0;4,3;105,0;9,2;2872,56;0,0;
05/01/2017;1600;31,5;31,6;31,0;53,0;54,0;51,0;20,9;20,9;19,9;1008,7;1009,1;1008,7;4,4;112,0;10,8;2746,38;0,0;
05/01/2017;1700;31,0;31,8;30,9;54,0;56,0;51,0;20,7;21,4;20,0;1007,7;1008,7;1007,7;4,6;106,0;10,8;2512,78;0,0;
05/01/2017;1800;31,1;31,4;30,5;54,0;56,0;53,0;20,5;21,2;20,3;1007,1;1007,7;1007,1;3,7;100,0;9,3;2141,24;0,0;
05/01/2017;1900;30,3;31,1;30,3;55,0;56,0;53,0;20,4;21,0;20,1;1006,7;1007,1;1006,5;4,0;102,0;8,8;1565,87;0,0;
05/01/2017;2000;29,5;30,5;29,5;59,0;60,0;55,0;20,7;21,1;20,2;1006,9;1007,0;1006,7;3,1;83,0;8,6;890,15;0,0;
05/01/2017;2100;28,3;29,5;28,3;68,0;68,0;59,0;21,7;21,7;20,8;1007,7;1007,7;1006,9;2,0;78,0;8,5;167,84;0,0;
05/01/2017;2200;27,8;28,3;27,7;73,0;73,0;68,0;22,5;22,5;21,8;1008,0;1008,1;1007,7;3,5;85,0;7,0;;0,0;
05/01/2017;2300;27,6;27,8;27,5;75,0;75,0;73,0;22,7;22,7;22,4;1008,7;1008,7;1007,9;2,9;101,0;7,2;;0,0;
06/01/2017;0000;27,4;27,6;27,4;76,0;76,0;75,0;22,8;22,9;22,6;1009,1;1009,1;1008,6;2,1;106,0;7,2;;0,0;
06/01/2017;0100;27,0;27,6;27,0;76,0;76,0;75,0;22,5;23,0;22,5;1009,1;1009,4;1009,1;1,6;103,0;7,9;;0,0;
06/01/2017;0200;26,8;27,0;26,8;77,0;77,0;76,0;22,3;22,5;22,3;1008,8;1009,2;1008,8;1,2;124,0;4,5;;0,0;
06/01/2017;0300;26,8;26,8;26,6;78,0;78,0;77,0;22,6;22,6;22,3;1008,4;1008,8;1008,4;1,4;113,0;3,7;;0,0;
06/01/2017;0400;26,8;26,9;26,7;77,0;78,0;77,0;22,5;22,7;22,4;1007,8;1008,4;1007,8;1,7;102,0;4,6;;0,0;
06/01/2017;0500;27,0;27,0;26,8;78,0;78,0;77,0;22,7;22,8;22,5;1007,5;1007,8;1007,5;2,4;112,0;6,2;;0,0;
06/01/2017;0600;26,9;27,1;26,8;78,0;78,0;76,0;22,8;22,8;22,5;1007,4;1007,6;1007,3;2,1;110,0;6,1;;0,0;
06/01/2017;0700;26,6;26,9;26,5;78,0;79,0;78,0;22,4;22,8;22,4;1007,2;1007,4;1007,1;2,7;126,0;6,4;;0,0;
06/01/2017;0800;26,6;26,6;26,4;77,0;78,0;77,0;22,3;22,4;22,1;1007,7;1007,7;1007,2;1,3;140,0;5,9;;0,0;
06/01/2017;0900;26,4;26,6;26,4;77,0;78,0;77,0;22,1;22,3;22,1;1008,1;1008,1;1007,7;1,5;147,0;4,8;10,62;0,0;
06/01/2017;1000;26,9;26,9;26,4;77,0;78,0;76,0;22,4;22,4;22,1;1008,7;1008,7;1008,1;1,8;156,0;4,3;179,36;0,0;
06/01/2017;1100;27,6;27,6;26,8;69,0;77,0;68,0;21,4;22,5;21,1;1009,4;1009,4;1008,7;2,6;124,0;6,3;503,88;0,0;
06/01/2017;1200;29,8;29,8;27,7;59,0;69,0;59,0;20,8;21,5;20,1;1009,8;1009,8;1009,4;3,0;124,0;9,2;1111,21;0,0;
06/01/2017;1300;30,5;31,0;29,0;53,0;60,0;51,0;19,9;20,8;19,1;1009,9;1009,9;1009,7;4,2;100,0;8,7;2034,02;0,0;
06/01/2017;1400;31,6;31,7;30,0;48,0;56,0;48,0;19,4;20,8;19,0;1009,3;1009,9;1009,3;3,9;107,0;8,7;2577,39;0,0;
06/01/2017;1500;31,8;32,2;31,2;47,0;51,0;46,0;19,1;20,2;18,7;1008,6;1009,4;1008,6;4,1;95,0;9,4;2874,26;0,0;
06/01/2017;1600;32,4;32,4;31,5;45,0;48,0;44,0;18,9;19,8;18,3;1007,6;1008,6;1007,6;4,5;92,0;8,9;2771,10;0,0;
06/01/2017;1700;32,3;32,6;31,4;46,0;48,0;44,0;19,1;19,4;18,1;1006,6;1007,6;1006,6;3,8;88,0;10,7;2545,59;0,0;
06/01/2017;1800;31,1;32,3;31,0;49,0;50,0;45,0;19,1;19,9;18,7;1005,9;1006,6;1005,9;4,1;80,0;9,7;2157,38;0,0;
06/01/2017;1900;30,8;31,5;30,7;51,0;51,0;49,0;19,7;19,8;19,0;1005,9;1005,9;1005,7;3,1;78,0;8,2;1583,61;0,0;
06/01/2017;2000;29,7;30,9;29,7;55,0;56,0;51,0;19,5;20,0;19,3;1006,1;1006,2;1005,9;3,3;96,0;7,7;886,11;0,0;
06/01/2017;2100;28,2;29,9;28,2;64,0;65,0;55,0;20,8;20,9;19,6;1006,6;1006,6;1006,1;2,6;57,0;6,8;200,55;0,0;
