Data,Consumo (kWh)
21/02/2018 00:30:00,"5,565"
21/02/2018 01:00:00,"5,46"
21/02/2018 01:30:00,"5,565"
21/02/2018 02:00:00,"5,145"
21/02/2018 02:30:00,"5,145"
21/02/2018 03:00:00,"5,145"
21/02/2018 03:30:00,"5,46"
21/02/2018 04:00:00,"5,355"
21/02/2018 04:30:00,"5,25"
21/02/2018 05:00:00,"5,145"
21/02/2018 05:30:00,"5,46"
21/02/2018 06:00:00,"5,145"
21/02/2018 06:30:00,"7,455"
21/02/2018 07:00:00,"9,135"
21/02/2018 07:30:00,"11,445"
21/02/2018 08:00:00,"33,915"
21/02/2018 08:30:00,"75,285"
21/02/2018 09:00:00,"73,395"
21/02/2018 09:30:00,"70,56"
21/02/2018 10:00:00,"71,82"
21/02/2018 10:30:00,"72,45"
21/02/2018 11:00:00,"71,61"
21/02/2018 11:30:00,"67,935"
21/02/2018 12:00:00,"65,31"
21/02/2018 12:30:00,"64,47"
21/02/2018 13:00:00,"61,425"
21/02/2018 13:30:00,"60,9"
21/02/2018 14:00:00,"60,69"
21/02/2018 14:30:00,"62,475"
21/02/2018 15:00:00,"63,735"
21/02/2018 15:30:00,"59,325"
21/02/2018 16:00:00,"53,34"
21/02/2018 16:30:00,"43,995"
21/02/2018 17:00:00,"37,59"
21/02/2018 17:30:00,"32,55"
21/02/2018 18:00:00,"27,93"
21/02/2018 18:30:00,"20,16"
21/02/2018 19:00:00,"18,69"
21/02/2018 19:30:00,"17,955"
21/02/2018 20:00:00,"17,85"
21/02/2018 20:30:00,"17,325"
21/02/2018 21:00:00,"14,7"
21/02/2018 21:30:00,"10,29"
21/02/2018 22:00:00,"6,72"
21/02/2018 22:30:00,"5,985"
21/02/2018 23:00:00,"5,88"
21/02/2018 23:30:00,"5,67"
22/02/2018 00:00:00,"5,67"
22/02/2018 00:30:00,"5,67"
22/02/2018 01:00:00,"5,67"
22/02/2018 01:30:00,"5,355"
22/02/2018 02:00:00,"5,355"
22/02/2018 02:30:00,"5,46"
22/02/2018 03:00:00,"5,67"
22/02/2018 03:30:00,"5,67"
22/02/2018 04:00:00,"5,25"
22/02/2018 04:30:00,"5,46"
22/02/2018 05:00:00,"5,565"
22/02/2018 05:30:00,"5,145"
22/02/2018 06:00:00,"5,25"
22/02/2018 06:30:00,"7,665"
22/02/2018 07:00:00,"10,185"
22/02/2018 07:30:00,"18,27"
22/02/2018 08:00:00,"32,025"
22/02/2018 08:30:00,"47,25"
22/02/2018 09:00:00,"48,72"
22/02/2018 09:30:00,"44,52"
22/02/2018 10:00:00,"36,75"
22/02/2018 10:30:00,"39,165"
22/02/2018 11:00:00,"38,64"
22/02/2018 11:30:00,"39,795"
22/02/2018 12:00:00,"27,615"
22/02/2018 12:30:00,"28,245"
22/02/2018 13:00:00,"28,245"
22/02/2018 13:30:00,"25,935"
22/02/2018 14:00:00,"33,81"
22/02/2018 14:30:00,42
22/02/2018 15:00:00,"45,15"
22/02/2018 15:30:00,"44,1"
22/02/2018 16:00:00,"46,305"
22/02/2018 16:30:00,"46,515"
22/02/2018 17:00:00,"44,205"
22/02/2018 17:30:00,"54,495"
22/02/2018 18:00:00,"57,645"
22/02/2018 18:30:00,"84,42"
22/02/2018 19:00:00,"84,42"
22/02/2018 19:30:00,"81,06"
22/02/2018 20:00:00,"78,015"
22/02/2018 20:30:00,"78,435"
22/02/2018 21:00:00,"69,825"
22/02/2018 21:30:00,"51,45"
22/02/2018 22:00:00,"42,735"
22/02/2018 22:30:00,"26,355"
22/02/2018 23:00:00,"5,985"
22/02/2018 23:30:00,"5,67"
23/02/2018 00:00:00,"5,985"
23/02/2018 00:30:00,"5,355"
23/02/2018 01:00:00,"5,25"
23/02/2018 01:30:00,"5,145"
23/02/2018 02:00:00,"5,04"
23/02/2018 02:30:00,"5,145"
23/02/2018 03:00:00,"5,04"
23/02/2018 03:30:00,"5,04"
23/02/2018 04:00:00,"4,935"
23/02/2018 04:30:00,"5,04"
23/02/2018 05:00:00,"4,935"
23/02/2018 05:30:00,"4,935"
23/02/2018 06:00:00,"4,62"
23/02/2018 06:30:00,"7,245"
23/02/2018 07:00:00,"9,87"
23/02/2018 07:30:00,"17,535"
23/02/2018 08:00:00,"22,47"
23/02/2018 08:30:00,"35,91"
23/02/2018 09:00:00,"35,805"
23/02/2018 09:30:00,"35,49"
23/02/2018 10:00:00,"35,805"
23/02/2018 10:30:00,"35,385"
23/02/2018 11:00:00,"36,75"
23/02/2018 11:30:00,"34,02"
23/02/2018 12:00:00,"28,455"
23/02/2018 12:30:00,"27,51"
23/02/2018 13:00:00,"28,665"
23/02/2018 13:30:00,"31,29"
23/02/2018 14:00:00,"32,34"
23/02/2018 14:30:00,"31,92"
23/02/2018 15:00:00,"32,34"
23/02/2018 15:30:00,"31,395"
23/02/2018 16:00:00,"33,075"
23/02/2018 16:30:00,"32,13"
23/02/2018 17:00:00,"34,02"
23/02/2018 17:30:00,"41,475"
23/02/2018 18:00:00,"45,15"
23/02/2018 18:30:00,"82,95"
23/02/2018 19:00:00,"85,47"
23/02/2018 19:30:00,"83,265"
23/02/2018 20:00:00,"80,955"
23/02/2018 20:30:00,"68,775"
23/02/2018 21:00:00,"60,585"
23/02/2018 21:30:00,"48,72"
23/02/2018 22:00:00,"43,47"
23/02/2018 22:30:00,"34,23"
23/02/2018 23:00:00,"8,19"
23/02/2018 23:30:00,"4,725"
24/02/2018 00:00:00,"4,62"
24/02/2018 00:30:00,"4,515"
24/02/2018 01:00:00,"4,62"
24/02/2018 01:30:00,"4,515"
24/02/2018 02:00:00,"4,305"
24/02/2018 02:30:00,"4,305"
24/02/2018 03:00:00,"4,62"
24/02/2018 03:30:00,"4,2"
24/02/2018 04:00:00,"4,515"
24/02/2018 04:30:00,"4,41"
24/02/2018 05:00:00,"4,41"
24/02/2018 05:30:00,"4,41"
24/02/2018 06:00:00,"4,305"
24/02/2018 06:30:00,"4,62"
24/02/2018 07:00:00,"5,67"
24/02/2018 07:30:00,"5,67"
24/02/2018 08:00:00,"7,875"
24/02/2018 08:30:00,"12,39"
24/02/2018 09:00:00,"11,97"
24/02/2018 09:30:00,"13,335"
24/02/2018 10:00:00,"13,23"
24/02/2018 10:30:00,"12,705"
24/02/2018 11:00:00,"12,915"
24/02/2018 11:30:00,"12,285"
24/02/2018 12:00:00,"12,705"
24/02/2018 12:30:00,"9,345"
24/02/2018 13:00:00,"8,505"
24/02/2018 13:30:00,"9,87"
24/02/2018 14:00:00,"9,24"
24/02/2018 14:30:00,"9,24"
24/02/2018 15:00:00,"9,03"
24/02/2018 15:30:00,"9,135"
24/02/2018 16:00:00,"8,19"
24/02/2018 16:30:00,"6,825"
24/02/2018 17:00:00,"7,665"
24/02/2018 17:30:00,"5,88"
24/02/2018 18:00:00,"6,3"
24/02/2018 18:30:00,"6,09"
24/02/2018 19:00:00,"6,3"
24/02/2018 19:30:00,"6,09"
24/02/2018 20:00:00,"6,09"
24/02/2018 20:30:00,"6,51"
24/02/2018 21:00:00,"6,51"
24/02/2018 21:30:00,"7,56"
24/02/2018 22:00:00,"7,56"
24/02/2018 22:30:00,"7,98"
24/02/2018 23:00:00,"7,665"
24/02/2018 23:30:00,"7,875"
25/02/2018 00:00:00,"7,875"
25/02/2018 00:30:00,"7,77"
25/02/2018 01:00:00,"7,77"
25/02/2018 01:30:00,"7,875"
25/02/2018 02:00:00,"7,665"
25/02/2018 02:30:00,"7,77"
25/02/2018 03:00:00,"7,455"
25/02/2018 03:30:00,"7,56"
25/02/2018 04:00:00,"5,985"
25/02/2018 04:30:00,"5,88"
25/02/2018 05:00:00,"5,775"
25/02/2018 05:30:00,"5,88"
25/02/2018 06:00:00,"5,775"
25/02/2018 06:30:00,"5,355"
25/02/2018 07:00:00,"5,46"
25/02/2018 07:30:00,"9,24"
25/02/2018 08:00:00,"11,865"
25/02/2018 08:30:00,"10,5"
25/02/2018 09:00:00,"10,5"
25/02/2018 09:30:00,"9,765"
25/02/2018 10:00:00,"9,66"
25/02/2018 10:30:00,"10,395"
25/02/2018 11:00:00,"9,975"
25/02/2018 11:30:00,"8,4"
25/02/2018 12:00:00,"10,185"
25/02/2018 12:30:00,"10,08"
25/02/2018 13:00:00,"9,87"
25/02/2018 13:30:00,"6,51"
25/02/2018 14:00:00,"6,09"
25/02/2018 14:30:00,"5,67"
25/02/2018 15:00:00,"5,67"
25/02/2018 15:30:00,"5,775"
25/02/2018 16:00:00,"5,88"
25/02/2018 16:30:00,"5,46"
25/02/2018 17:00:00,"5,775"
25/02/2018 17:30:00,"5,985"
25/02/2018 18:00:00,"5,985"
25/02/2018 18:30:00,"6,93"
25/02/2018 19:00:00,"7,245"
25/02/2018 19:30:00,"7,14"
25/02/2018 20:00:00,"7,14"
25/02/2018 20:30:00,"6,93"
25/02/2018 21:00:00,"6,51"
25/02/2018 21:30:00,"6,3"
25/02/2018 22:00:00,"6,825"
25/02/2018 22:30:00,"6,615"
25/02/2018 23:00:00,"6,405"
25/02/2018 23:30:00,"6,3"
26/02/2018 00:00:00,"6,615"
26/02/2018 00:30:00,"6,72"
26/02/2018 01:00:00,"6,3"
26/02/2018 01:30:00,"6,09"
26/02/2018 02:00:00,"6,195"
26/02/2018 02:30:00,"6,405"
26/02/2018 03:00:00,"6,3"
26/02/2018 03:30:00,"6,3"
26/02/2018 04:00:00,"6,405"
26/02/2018 04:30:00,"6,195"
26/02/2018 05:00:00,"6,405"
26/02/2018 05:30:00,"6,195"
26/02/2018 06:00:00,"6,3"
26/02/2018 06:30:00,"8,295"
26/02/2018 07:00:00,"11,445"
26/02/2018 07:30:00,"32,97"
26/02/2018 08:00:00,"39,165"
26/02/2018 08:30:00,"58,38"
26/02/2018 09:00:00,"56,595"
26/02/2018 09:30:00,"55,02"
26/02/2018 10:00:00,"55,44"
26/02/2018 10:30:00,"51,975"
26/02/2018 11:00:00,"49,77"
26/02/2018 11:30:00,"44,52"
26/02/2018 12:00:00,"41,475"
26/02/2018 12:30:00,"35,91"
26/02/2018 13:00:00,"35,91"
26/02/2018 13:30:00,"35,91"
26/02/2018 14:00:00,"42,945"
26/02/2018 14:30:00,"45,15"
26/02/2018 15:00:00,"45,465"
26/02/2018 15:30:00,"45,15"
26/02/2018 16:00:00,"46,2"
26/02/2018 16:30:00,"43,26"
26/02/2018 17:00:00,"41,475"
26/02/2018 17:30:00,"41,895"
26/02/2018 18:00:00,"42,525"
26/02/2018 18:30:00,"69,51"
26/02/2018 19:00:00,"82,635"
26/02/2018 19:30:00,"78,75"
26/02/2018 20:00:00,"85,26"
26/02/2018 20:30:00,"85,05"
26/02/2018 21:00:00,"78,75"
26/02/2018 21:30:00,"65,205"
26/02/2018 22:00:00,"55,65"
26/02/2018 22:30:00,"33,915"
26/02/2018 23:00:00,"4,725"
26/02/2018 23:30:00,"4,515"
27/02/2018 00:00:00,"4,095"
27/02/2018 00:30:00,"4,515"
27/02/2018 01:00:00,"4,2"
27/02/2018 01:30:00,"3,99"
27/02/2018 02:00:00,"3,78"
27/02/2018 02:30:00,"4,095"
27/02/2018 03:00:00,"3,99"
27/02/2018 03:30:00,"3,78"
27/02/2018 04:00:00,"3,885"
27/02/2018 04:30:00,"3,99"
27/02/2018 05:00:00,"4,095"
27/02/2018 05:30:00,"3,675"
27/02/2018 06:00:00,"3,885"
27/02/2018 06:30:00,"5,67"
27/02/2018 07:00:00,"7,245"
27/02/2018 07:30:00,"16,905"
27/02/2018 08:00:00,"28,35"
27/02/2018 08:30:00,"48,615"
27/02/2018 09:00:00,"53,025"
27/02/2018 09:30:00,"51,975"
27/02/2018 10:00:00,"52,71"
27/02/2018 10:30:00,"58,485"
27/02/2018 11:00:00,"49,56"
27/02/2018 11:30:00,"47,145"
27/02/2018 12:00:00,"40,95"
27/02/2018 12:30:00,"36,75"
27/02/2018 13:00:00,"36,015"
27/02/2018 13:30:00,"38,85"
27/02/2018 14:00:00,"40,845"
27/02/2018 14:30:00,"43,155"
27/02/2018 15:00:00,"45,885"
27/02/2018 15:30:00,"43,575"
27/02/2018 16:00:00,"45,885"
27/02/2018 16:30:00,"45,045"
27/02/2018 17:00:00,"44,94"
27/02/2018 17:30:00,"45,78"
27/02/2018 18:00:00,"46,725"
27/02/2018 18:30:00,"80,745"
27/02/2018 19:00:00,"82,53"
27/02/2018 19:30:00,"81,585"
27/02/2018 20:00:00,"79,275"
27/02/2018 20:30:00,"74,865"
27/02/2018 21:00:00,"71,085"
27/02/2018 21:30:00,"54,18"
27/02/2018 22:00:00,"44,625"
27/02/2018 22:30:00,"24,78"
27/02/2018 23:00:00,"4,2"
27/02/2018 23:30:00,"3,57"
28/02/2018 00:00:00,"3,675"
28/02/2018 00:30:00,"3,36"
28/02/2018 01:00:00,"3,255"
28/02/2018 01:30:00,"3,255"
28/02/2018 02:00:00,"3,465"
28/02/2018 02:30:00,"3,255"
28/02/2018 03:00:00,"3,255"
28/02/2018 03:30:00,"3,255"
28/02/2018 04:00:00,"3,15"
28/02/2018 04:30:00,"3,465"
28/02/2018 05:00:00,"3,675"
28/02/2018 05:30:00,"3,15"
28/02/2018 06:00:00,"3,36"
28/02/2018 06:30:00,"7,035"
28/02/2018 07:00:00,"7,245"
28/02/2018 07:30:00,"18,795"
28/02/2018 08:00:00,"41,475"
28/02/2018 08:30:00,"51,135"
28/02/2018 09:00:00,"50,4"
28/02/2018 09:30:00,"49,56"
28/02/2018 10:00:00,"48,51"
28/02/2018 10:30:00,"45,99"
28/02/2018 11:00:00,"42,945"
28/02/2018 11:30:00,"41,685"
28/02/2018 12:00:00,"32,97"
28/02/2018 12:30:00,"30,45"
28/02/2018 13:00:00,"31,815"
28/02/2018 13:30:00,"36,96"
28/02/2018 14:00:00,"40,11"
28/02/2018 14:30:00,"40,32"
28/02/2018 15:00:00,"42,945"
28/02/2018 15:30:00,"43,89"
28/02/2018 16:00:00,"43,155"
28/02/2018 16:30:00,"43,155"
28/02/2018 17:00:00,"43,26"
28/02/2018 17:30:00,"45,99"
28/02/2018 18:00:00,"46,935"
28/02/2018 18:30:00,"75,495"
28/02/2018 19:00:00,"87,465"
28/02/2018 19:30:00,"84,63"
28/02/2018 20:00:00,"83,055"
28/02/2018 20:30:00,"83,895"
28/02/2018 21:00:00,"82,11"
28/02/2018 21:30:00,"64,575"
28/02/2018 22:00:00,"52,395"
28/02/2018 22:30:00,"28,875"
28/02/2018 23:00:00,"5,565"
28/02/2018 23:30:00,"5,145"
01/03/2018 00:00:00,"5,46"
01/03/2018 00:30:00,"5,04"
01/03/2018 01:00:00,"4,725"
01/03/2018 01:30:00,"4,83"
01/03/2018 02:00:00,"4,935"
01/03/2018 02:30:00,"4,725"
01/03/2018 03:00:00,"4,725"
01/03/2018 03:30:00,"4,725"
01/03/2018 04:00:00,"4,515"
01/03/2018 04:30:00,"4,83"
01/03/2018 05:00:00,"4,725"
01/03/2018 05:30:00,"4,41"
01/03/2018 06:00:00,"4,41"
01/03/2018 06:30:00,"6,3"
01/03/2018 07:00:00,"8,715"
01/03/2018 07:30:00,"12,6"
01/03/2018 08:00:00,"30,66"
01/03/2018 08:30:00,"44,73"
01/03/2018 09:00:00,"43,68"
01/03/2018 09:30:00,"43,365"
01/03/2018 10:00:00,"45,465"
01/03/2018 10:30:00,"47,04"
01/03/2018 11:00:00,"46,305"
01/03/2018 11:30:00,"38,85"
01/03/2018 12:00:00,"30,45"
01/03/2018 12:30:00,"30,66"
01/03/2018 13:00:00,"29,61"
01/03/2018 13:30:00,"27,51"
01/03/2018 14:00:00,"33,495"
01/03/2018 14:30:00,"36,75"
01/03/2018 15:00:00,"40,11"
01/03/2018 15:30:00,"40,635"
01/03/2018 16:00:00,"40,95"
01/03/2018 16:30:00,"37,485"
01/03/2018 17:00:00,"35,175"
01/03/2018 17:30:00,"35,49"
01/03/2018 18:00:00,"36,435"
01/03/2018 18:30:00,"65,415"
01/03/2018 19:00:00,"77,49"
01/03/2018 19:30:00,"74,235"
