,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,custo_med,target,econ,conf_med,t_med
0,Fixa,0.0,Fuzzy,L3,1.27,1.27,1.28,0.0044,12.7,12.7,-0.00%,95.64%,0.615
1,ToU,0.0,No_fuzzy,L2,1.14,1.22,1.27,0.029,14.1,13.8,-2.65%,77.96%,0.81
2,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.006,12.7,12.7,-0.00%,95.01%,0.588
3,ToU,0.5,Fuzzy,L3,1.12,1.16,1.19,0.02,13.1,13.8,4.68%,94.60%,0.729
4,ToU,0.5,Fuzzy,L1,1.13,1.2,1.24,0.029,13.9,15.8,12.07%,94.56%,2.41
5,ToU,0.5,Fuzzy,L2,1.11,1.16,1.2,0.025,13.2,13.8,4.42%,94.80%,0.617
6,ToU,0.75,Fuzzy,L3,1.01,1.08,1.15,0.044,13.5,13.8,1.80%,93.87%,0.721
7,ToU,0.75,No_fuzzy,L2,1.0,1.07,1.14,0.044,13.3,13.8,3.06%,70.28%,0.846
8,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0025,14.3,14.3,0.00%,96.02%,1.99
9,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0053,12.7,12.7,-0.00%,95.00%,0.521
10,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0054,12.7,12.7,-0.00%,95.33%,0.501
11,Fixa,0.0,No_fuzzy,L2,1.15,1.22,1.26,0.021,12.7,12.7,-0.00%,78.31%,0.919
12,Fixa,0.0,No_fuzzy,L3,1.16,1.23,1.26,0.02,12.7,12.7,-0.00%,79.20%,0.823
13,ToU,0.5,Fuzzy,L2,1.1,1.15,1.19,0.025,13.3,13.8,3.61%,93.93%,0.741
14,ToU,1.0,Fuzzy,L1,1.05,1.14,1.23,0.051,13.5,15.8,14.42%,94.53%,2.06
15,ToU,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0026,15.2,15.8,3.81%,95.58%,1.77
16,ToU,0.75,No_fuzzy,L2,0.997,1.07,1.14,0.047,13.4,13.8,2.71%,67.41%,0.631
17,Fixa,0.0,No_fuzzy,L2,1.2,1.23,1.27,0.018,12.7,12.7,-0.00%,78.94%,0.811
18,ToU,0.5,Fuzzy,L1,1.14,1.2,1.25,0.027,13.7,15.8,12.96%,94.54%,1.99
19,ToU,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.011,15.2,15.8,3.74%,86.09%,1.92
20,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0027,14.3,14.3,0.00%,95.70%,1.88
21,ToU,0.75,Fuzzy,L1,1.09,1.17,1.26,0.041,13.6,15.8,14.02%,94.73%,2.65
22,ToU,0.75,No_fuzzy,L3,0.998,1.08,1.14,0.039,13.1,13.8,4.72%,69.22%,0.669
23,ToU,1.0,No_fuzzy,L2,0.982,1.05,1.11,0.038,13.1,13.8,5.16%,71.46%,0.636
24,Fixa,0.0,No_fuzzy,L3,1.17,1.23,1.25,0.016,12.7,12.7,-0.00%,78.77%,0.789
25,ToU,0.75,No_fuzzy,L2,1.02,1.08,1.14,0.03,13.2,13.8,4.26%,73.04%,0.655
26,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0055,12.7,12.7,-0.00%,95.26%,0.6
27,ToU,0.0,No_fuzzy,L2,1.15,1.22,1.26,0.022,14.5,13.8,-5.13%,76.58%,0.88
28,ToU,1.0,Fuzzy,L1,0.988,1.13,1.25,0.054,13.7,15.8,13.20%,94.62%,2.47
29,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0024,14.3,14.3,0.00%,95.92%,1.95
30,ToU,0.0,No_fuzzy,L2,1.16,1.22,1.26,0.025,14.1,13.8,-2.51%,77.44%,0.825
31,ToU,0.75,No_fuzzy,L2,1.0,1.07,1.14,0.041,13.4,13.8,2.78%,69.40%,0.86
32,ToU,0.75,No_fuzzy,L2,0.965,1.08,1.14,0.047,13.3,13.8,3.63%,72.05%,0.727
33,ToU,0.25,No_fuzzy,L1,1.18,1.21,1.24,0.017,13.8,15.8,12.50%,82.83%,2.41
34,ToU,0.25,Fuzzy,L2,1.18,1.21,1.24,0.015,13.4,13.8,2.70%,93.66%,0.712
35,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0059,12.7,12.7,-0.00%,95.17%,0.58
36,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.01,14.3,14.3,0.00%,85.94%,2.29
37,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.26,0.0078,14.3,14.3,0.00%,86.95%,2.28
38,ToU,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.011,15.0,15.8,4.74%,87.16%,2.36
39,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0031,14.3,14.3,0.00%,95.20%,1.75
40,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0058,12.7,12.7,-0.00%,94.93%,0.568
41,Fixa,0.0,No_fuzzy,L3,1.17,1.22,1.26,0.023,12.7,12.7,-0.00%,77.88%,0.804
42,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0061,12.7,12.7,-0.00%,94.71%,0.614
43,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0061,12.7,12.7,-0.00%,95.02%,0.52
44,ToU,0.5,No_fuzzy,L2,1.05,1.11,1.17,0.033,13.4,13.8,2.99%,69.48%,0.723
45,ToU,0.75,No_fuzzy,L3,1.01,1.09,1.14,0.041,13.1,13.8,4.93%,71.12%,0.727
46,ToU,0.75,No_fuzzy,L2,1.01,1.08,1.14,0.033,13.3,13.8,3.64%,71.67%,0.936
47,ToU,0.25,No_fuzzy,L1,1.19,1.21,1.24,0.017,13.4,15.8,14.68%,82.91%,2.53
