Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_med,target,conf_med %,t_med,temp,umidade,humor,omega,rel_alt
2022-07-14 15:07:28,1,Fixa,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,0.87,3.03,21.1,98.3,7.4,0.18,0
2022-07-14 15:07:29,2,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0021,4.86,4.24,4.24,0.98,0.0824,1.9,81.4,2.7,0.16,1
2022-07-14 15:07:30,3,Fixa,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,0.79,0.949,40.5,59.2,3.4,0.74,0
2022-07-14 15:07:31,4,Fixa,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0053,14.5,12.7,12.7,0.96,1.14,8.6,98.2,3.8,0.18,1
2022-07-14 15:07:32,5,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,0.98,0.0876,3.3,92.1,4.8,0.16,1
2022-07-14 15:07:33,6,Fixa,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,0.79,0.972,29.9,55.2,6.6,0.46,0
2022-07-14 15:07:34,7,Fixa,0.0,Fuzzy,Padrão B,1.21,1.24,1.27,0.017,14.5,12.7,12.7,0.85,0.884,29.6,35.3,2.3,0.64,1
2022-07-14 15:07:35,8,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0016,4.86,4.24,4.24,0.98,0.0803,22.7,77.5,6.1,0.18,1
2022-07-14 15:07:36,9,Fixa,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0024,4.86,4.24,4.24,0.98,0.082,31.5,42.5,0.6,0.77,1
2022-07-14 15:07:37,10,Fixa,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0026,16.4,14.3,14.3,0.96,2.02,18.5,46.3,10.0,0.16,1
2022-07-14 15:07:38,11,Fixa,0.0,Fuzzy,Padrão A,1.24,1.26,1.27,0.0072,16.4,14.3,14.3,0.91,2.18,34.2,35.2,8.2,0.5,1
2022-07-14 15:07:39,12,Fixa,0.0,Fuzzy,Padrão A,1.23,1.25,1.27,0.0089,16.4,14.3,14.3,0.89,2.49,34.1,69.0,7.0,0.62,1
2022-07-14 15:07:40,13,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,0.98,0.0832,7.4,84.7,0.6,0.16,1
2022-07-14 15:07:41,14,Fixa,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,0.79,0.892,11.8,45.1,7.8,0.16,0
2022-07-14 15:07:42,15,Fixa,0.0,Fuzzy,Padrão B,1.23,1.26,1.28,0.011,14.5,12.7,12.7,0.91,0.696,27.4,67.8,5.3,0.32,1
2022-07-14 15:07:43,16,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,0.98,0.0849,20.1,18.4,8.9,0.16,1
2022-07-14 15:07:44,17,Fixa,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0045,14.5,12.7,12.7,0.96,0.557,15.7,6.0,8.0,0.17,1
2022-07-14 15:07:45,18,Fixa,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0026,16.4,14.3,14.3,0.96,2.27,2.0,34.8,5.5,0.16,1
2022-07-14 15:07:46,19,Fixa,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0029,4.86,4.24,4.24,0.98,0.0888,38.7,75.0,7.1,0.63,1
