Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_min,custo_med,custo_max,target,conf_min,conf_med,conf_max,t_med,temp,umidade,humor,omega,rel_alt
2023-01-21 00:01:01,1,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.65,6.6,36.3,8.2,0.16,0
2023-01-21 00:01:02,2,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0022,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0656,40.2,8.2,5.7,0.68,1
2023-01-21 00:01:03,3,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0686,18.0,86.0,4.5,0.31,0
2023-01-21 00:01:04,4,TC,0.0,Fuzzy,Padrão B,1.25,1.27,1.28,0.0068,14.5,12.7,12.7,12.7,12.7,0.89,0.95,0.98,0.535,7.3,26.9,7.0,0.18,1
2023-01-21 00:01:05,5,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.807,40.8,73.4,7.0,0.63,0
2023-01-21 00:01:06,6,TC,0.0,Fuzzy,Padrão B,1.22,1.25,1.27,0.012,14.5,12.7,12.7,12.7,12.7,0.77,0.87,0.93,0.706,31.7,8.0,8.1,0.48,1
2023-01-21 00:01:07,7,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0027,4.86,4.24,4.24,4.24,4.24,0.95,0.98,0.99,0.0873,34.7,88.7,0.6,0.84,1
2023-01-21 00:01:08,8,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.42,25.1,63.2,1.5,0.58,0
2023-01-21 00:01:09,9,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0021,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0795,27.5,75.8,4.0,0.5,1
2023-01-21 00:01:10,10,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0709,36.3,43.4,7.1,0.61,0
2023-01-21 00:01:11,11,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.006,14.5,12.7,12.7,12.7,12.7,0.9,0.96,0.98,0.549,1.9,4.5,3.8,0.17,1
2023-01-21 00:01:12,12,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.002,4.86,4.24,4.24,4.24,4.24,0.96,0.98,1.0,0.0687,25.9,5.1,8.2,0.2,1
2023-01-21 00:01:13,13,TC,0.0,Fuzzy,Padrão B,1.2,1.25,1.27,0.016,14.5,12.7,12.7,12.7,12.7,0.71,0.86,0.95,0.687,39.8,26.6,8.2,0.5,1
2023-01-21 00:01:14,14,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0055,14.5,12.7,12.7,12.7,12.7,0.91,0.96,0.99,0.562,4.1,11.7,0.0,0.16,1
2023-01-21 00:01:15,15,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.811,16.3,24.8,9.0,0.16,0
2023-01-21 00:01:16,16,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0055,14.5,12.7,12.7,12.7,12.7,0.91,0.96,0.99,0.556,2.6,44.1,4.8,0.16,1
2023-01-21 00:01:17,17,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.797,23.5,28.6,9.0,0.17,0
2023-01-21 00:01:18,18,TC,0.0,Fuzzy,Padrão B,1.18,1.24,1.27,0.023,14.5,12.7,12.7,12.7,12.7,0.64,0.83,0.93,0.698,22.3,54.3,1.8,0.63,1
2023-01-21 00:01:19,19,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.4,10.0,38.0,8.5,0.16,0
2023-01-21 00:01:20,20,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0028,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0807,33.8,69.3,5.0,0.81,1
2023-01-21 00:01:21,21,TC,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0019,16.4,14.3,14.3,14.3,14.3,0.95,0.96,0.97,1.9,8.7,65.2,5.8,0.16,1
2023-01-21 00:01:22,22,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.43,7.9,29.9,7.6,0.16,0
2023-01-21 00:01:23,23,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,4.24,4.24,0.97,0.98,0.99,0.0784,21.0,28.6,7.3,0.33,1
2023-01-21 00:01:24,24,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.799,25.8,57.0,4.8,0.51,0
2023-01-21 00:01:25,25,TC,0.0,Fuzzy,Padrão B,1.25,1.27,1.28,0.0068,14.5,12.7,12.7,12.7,12.7,0.89,0.95,0.97,0.554,10.3,7.1,4.6,0.19,1
2023-01-21 00:01:26,26,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,4.24,4.24,0.97,0.98,0.99,0.0718,4.2,7.7,2.8,0.16,1
2023-01-21 00:01:27,27,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.801,27.3,58.3,0.5,0.63,0
2023-01-21 00:01:28,28,TC,0.0,Fuzzy,Padrão B,1.25,1.27,1.28,0.0068,14.5,12.7,12.7,12.7,12.7,0.89,0.95,0.97,0.564,25.6,25.7,8.3,0.19,1
2023-01-21 00:01:29,29,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0023,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0686,17.5,93.3,4.5,0.3,1
2023-01-21 00:01:30,30,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0721,40.7,60.7,9.3,0.52,0
2023-01-21 00:01:31,31,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0055,14.5,12.7,12.7,12.7,12.7,0.91,0.96,0.99,0.556,18.1,21.0,8.7,0.16,1
2023-01-21 00:01:32,32,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.799,27.5,61.9,8.2,0.28,0
2023-01-21 00:01:33,33,TC,0.0,Fuzzy,Padrão B,1.19,1.24,1.26,0.021,14.5,12.7,12.7,12.7,12.7,0.65,0.84,0.93,0.86,34.6,53.6,3.8,0.66,1
2023-01-21 00:01:34,34,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.41,7.2,15.1,2.2,0.16,0
2023-01-21 00:01:35,35,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,4.24,4.24,0.97,0.98,0.99,0.0733,2.8,77.1,5.3,0.16,1
2023-01-21 00:01:36,36,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.804,1.9,39.1,2.9,0.16,0
2023-01-21 00:01:37,37,TC,0.0,Fuzzy,Padrão B,1.25,1.27,1.28,0.0068,14.5,12.7,12.7,12.7,12.7,0.89,0.95,0.98,0.548,22.0,39.2,9.3,0.18,1
2023-01-21 00:01:38,38,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.809,33.0,58.9,3.3,0.76,0
2023-01-21 00:01:39,39,TC,0.0,Fuzzy,Padrão B,1.18,1.24,1.27,0.023,14.5,12.7,12.7,12.7,12.7,0.64,0.83,0.93,0.682,35.1,41.1,4.7,0.63,1
