,F-comfort,tarifa,alfa,f_confort2,f_confort,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_min,custo_med,custo_uss,custo_max,target,conf_min,conf_med,conf_max,t_med,temp,umidade,omega
2023-02-06 18:02:05,1,TC,0,nfz-comf,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.81144,0.86509,0.91056,2.69,10,60,0.16
2023-02-06 18:02:06,2,TC,0,Fz-comf,Fuzzy,Padrão A,1.25,1.27,1.28,0.006,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.89229,0.94177,0.97289,2.29,10,60,0.16
2023-02-06 18:02:07,3,TC,0,nFz-tag-comf,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.86045,0.95361,0.97997,2.5,10,60,0.16
2023-02-06 18:02:08,4,TC,0,Fz-tag-comf,Fz_Taguchi,Padrão A,1.26,1.28,1.28,0.0055,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.91363,0.97779,0.9936,2.25,10,60,0.16
2023-02-06 18:02:09,5,ToU,0.5,nfz-comf,No_fuzzy,Padrão A,1.14,1.19,1.24,0.027,16.4,11.9,13.51,2.59309021113244,14.99,15.76,0.76422,0.82435,0.87956,2.69,10,60,0.16
2023-02-06 18:02:10,6,ToU,0.5,Fz-comf,Fuzzy,Padrão A,1.15,1.21,1.26,0.029,16.4,11.7,13.45,2.58157389635317,15.27,15.76,0.89304,0.93057,0.96413,2.46,10,60,0.16
2023-02-06 18:02:11,7,ToU,0.5,nFz-tag-comf,Taguchi,Padrão A,1.13,1.2,1.26,0.035,16.4,11.8,13.65,2.61996161228407,15.9,15.76,0.83485,0.91258,0.96369,2.64,10,60,0.16
2023-02-06 18:02:12,8,ToU,0.5,Fz-tag-comf,Fz_Taguchi,Padrão A,1.15,1.21,1.25,0.028,16.4,12.2,13.42,2.57581573896353,15.55,15.76,0.89108,0.95173,0.98946,2.74,10,60,0.16
2023-02-06 18:02:13,9,TC,0,nfz-comf,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.81144,0.86509,0.91056,2.62,30,65,0.56
2023-02-06 18:02:14,10,TC,0,Fz-comf,Fuzzy,Padrão A,1.24,1.26,1.27,0.0079,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.82951,0.89704,0.95193,2.22,30,65,0.56
2023-02-06 18:02:15,11,TC,0,nFz-tag-comf,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.86045,0.95361,0.97997,2.48,30,65,0.56
2023-02-06 18:02:16,12,TC,0,Fz-tag-comf,Fz_Taguchi,Padrão A,1.26,1.27,1.28,0.0066,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.89729,0.96083,0.9894,2.06,30,65,0.56
2023-02-06 18:02:17,13,ToU,0.5,nfz-comf,No_fuzzy,Padrão A,1.14,1.19,1.24,0.027,16.4,11.9,13.51,2.59309021113244,14.99,15.76,0.76422,0.82435,0.87956,2.57,30,65,0.56
2023-02-06 18:02:18,14,ToU,0.5,Fz-comf,Fuzzy,Padrão A,1.13,1.19,1.24,0.03,16.4,12.2,13.6,2.61036468330134,15.55,15.76,0.84909,0.88433,0.91864,2.54,30,65,0.56
