,F-comfort,tarifa,alfa,f_confort2,f_confort,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_min,custo_med,custo_max,custo_uss,target,conf_min,conf_med,conf_max,t_med,temp,umidade,omega
2023-02-06 19:02:27,1,TC,0,nfz-comf,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,14.31,2.74664107485605,14.31,0.81144,0.86509,0.91056,2.39,10,60,0.16
2023-02-06 19:02:28,2,TC,0,Fz-comf,Fuzzy,Padrão A,1.25,1.27,1.28,0.006,16.4,14.3,14.31,14.31,2.74664107485605,14.31,0.89229,0.94177,0.97289,2,10,60,0.16
2023-02-06 19:02:29,3,TC,0,nFz-tag-comf,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,14.31,,14.31,0.86045,0.95361,0.97997,2.43,10,60,0.16
2023-02-06 19:02:30,4,TC,0,Fz-tag-comf,Fz_Taguchi,Padrão A,1.26,1.28,1.28,0.0055,16.4,14.3,14.31,14.31,,14.31,0.91363,0.97779,0.9936,2.22,10,60,0.16
2023-02-06 19:02:31,5,ToU,0.75,nfz-comf,No_fuzzy,Padrão A,1.07,1.17,1.25,0.047,16.4,11.8,13.49,15.49,2.58925143953935,15.76,0.73956,0.81803,0.88667,2.86,10,60,0.16
2023-02-06 19:02:32,6,ToU,0.75,Fz-comf,Fuzzy,Padrão A,1.05,1.16,1.26,0.049,16.4,11.7,13.69,16.21,2.62763915547025,15.76,0.892,0.92705,0.96584,2.56,10,60,0.16
2023-02-06 19:02:33,7,ToU,0.75,nFz-tag-comf,Taguchi,Padrão A,1.05,1.18,1.24,0.043,16.4,12,13.4,16.14,2.572,15.76,0.86198,0.9239,0.97083,2.76,10,60,0.16
2023-02-06 19:02:34,8,ToU,0.75,Fz-tag-comf,Fz_Taguchi,Padrão A,1.07,1.18,1.25,0.047,16.4,11.9,13.44,15.69,2.58,15.76,0.91346,0.95407,0.99048,2.78,10,60,0.16
2023-02-06 19:02:35,9,TC,0,nfz-comf,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,14.31,2.74664107485605,14.31,0.81144,0.86509,0.91056,2.56,30,65,0.56
2023-02-06 19:02:36,10,TC,0,Fz-comf,Fuzzy,Padrão A,1.24,1.26,1.27,0.0079,16.4,14.3,14.31,14.31,2.74664107485605,14.31,0.82951,0.89704,0.95193,2.13,30,65,0.56
2023-02-06 19:02:37,11,TC,0,nFz-tag-comf,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,14.31,,14.31,0.86045,0.95361,0.97997,2.55,30,65,0.56
2023-02-06 19:02:38,12,TC,0,Fz-tag-comf,Fz_Taguchi,Padrão A,1.26,1.27,1.28,0.0066,16.4,14.3,14.31,14.31,,14.31,0.89729,0.96083,0.9894,2.31,30,65,0.56
2023-02-06 19:02:39,13,ToU,0.75,nfz-comf,No_fuzzy,Padrão A,1.07,1.17,1.25,0.047,16.4,11.8,13.49,15.49,2.58925143953935,15.76,0.73956,0.81803,0.88667,2.93,30,65,0.56
2023-02-06 19:02:40,14,ToU,0.75,Fz-comf,Fuzzy,Padrão A,1.08,1.17,1.26,0.049,16.4,11.7,13.44,15.46,2.57965451055662,15.76,0.8118,0.87888,0.93036,2.52,30,65,0.56
2023-02-06 19:02:41,15,ToU,0.75,nFz-tag-comf,Taguchi,Padrão A,1.05,1.18,1.24,0.043,16.4,12,13.4,16.14,2.572,15.76,0.86198,0.9239,0.97083,2.92,30,65,0.56
2023-02-06 19:02:42,16,ToU,0.75,Fz-tag-comf,Fz_Taguchi,Padrão A,1.08,1.17,1.25,0.039,16.4,11.9,13.52,15.6,2.595,15.76,0.85942,0.93274,0.97311,2.97,30,65,0.56
2023-02-06 19:02:43,17,TC,0,nfz-comf,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,14.31,2.74664107485605,14.31,0.81144,0.86509,0.91056,2.6,39,70,0.84
2023-02-06 19:02:44,18,TC,0,Fz-comf,Fuzzy,Padrão A,1.22,1.25,1.26,0.0099,16.4,14.3,14.31,14.31,2.74664107485605,14.31,0.77593,0.87616,0.91776,2.08,39,70,0.84
2023-02-06 19:02:45,19,TC,0,nFz-tag-comf,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,14.31,,14.31,0.86045,0.95361,0.97997,2.24,39,70,0.84
2023-02-06 19:02:46,20,TC,0,Fz-tag-comf,Fz_Taguchi,Padrão A,1.23,1.27,1.28,0.01,16.4,14.3,14.31,14.31,,14.31,0.81605,0.94042,0.98389,2.34,39,70,0.84
2023-02-06 19:02:47,21,ToU,0.75,nfz-comf,No_fuzzy,Padrão A,1.07,1.17,1.25,0.047,16.4,11.8,13.49,15.49,2.58925143953935,15.76,0.73956,0.81803,0.88667,2.61,39,70,0.84
2023-02-06 19:02:48,22,ToU,0.75,Fz-comf,Fuzzy,Padrão A,1.07,1.17,1.24,0.045,16.4,12.1,13.48,15.56,2.5873320537428,15.76,0.793,0.8447,0.9106,2.59,39,70,0.84
2023-02-06 19:02:49,23,ToU,0.75,nFz-tag-comf,Taguchi,Padrão A,1.05,1.18,1.24,0.043,16.4,12,13.4,16.14,2.572,15.76,0.86198,0.9239,0.97083,2.65,39,70,0.84
2023-02-06 19:02:50,24,ToU,0.75,Fz-tag-comf,Fz_Taguchi,Padrão A,1.11,1.17,1.24,0.039,16.4,12,13.47,14.82,2.585,15.76,0.86855,0.92071,0.96386,2.67,39,70,0.84
