,F-comfort,tarifa,alfa,f_confort,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_min,custo_med,custo_max,target,conf_min,conf_med,conf_max,t_med,temp,umidade,omega
2023-03-15 14:03:08,1,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,14.31,14.31,0.81144,0.86509,0.91056,2.41,10,60,0.16
2023-03-15 14:03:09,2,TC,0.0,Fuzzy,Padrão A,1.25,1.27,1.28,0.006,16.4,14.3,14.31,14.31,14.31,0.89229,0.94177,0.97289,2.05,10,60,0.16
2023-03-15 14:03:10,3,TC,0.0,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,14.31,14.31,0.86045,0.95361,0.97997,2.27,10,60,0.16
2023-03-15 14:03:11,4,TC,0.0,Fz_Taguchi,Padrão A,1.26,1.28,1.28,0.0055,16.4,14.3,14.31,14.31,14.31,0.91363,0.97779,0.9936,2.07,10,60,0.16
2023-03-15 14:03:12,5,ToU,0.5,No_fuzzy,Padrão A,1.14,1.19,1.24,0.027,16.4,11.9,13.51,14.99,15.76,0.76422,0.82435,0.87956,2.58,10,60,0.16
2023-03-15 14:03:13,6,ToU,0.5,Fuzzy,Padrão A,1.15,1.21,1.26,0.029,16.4,11.7,13.45,15.27,15.76,0.89304,0.93057,0.96413,2.37,10,60,0.16
2023-03-15 14:03:14,7,ToU,0.5,Taguchi,Padrão A,1.13,1.2,1.26,0.035,16.4,11.8,13.65,15.9,15.76,0.83485,0.91258,0.96369,2.33,10,60,0.16
2023-03-15 14:03:15,8,ToU,0.5,Fz_Taguchi,Padrão A,1.15,1.21,1.25,0.028,16.4,12.2,13.42,15.55,15.76,0.89108,0.95173,0.98946,1.04e+02,10,60,0.16
2023-03-15 14:03:16,9,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,14.31,14.31,0.81144,0.86509,0.91056,2.86,30,65,0.56
2023-03-15 14:03:17,10,TC,0.0,Fuzzy,Padrão A,1.24,1.26,1.27,0.0079,16.4,14.3,14.31,14.31,14.31,0.82951,0.89704,0.95193,2.46,30,65,0.56
2023-03-15 14:03:18,11,TC,0.0,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,14.31,14.31,0.86045,0.95361,0.97997,2.52,30,65,0.56
2023-03-15 14:03:19,12,TC,0.0,Fz_Taguchi,Padrão A,1.26,1.27,1.28,0.0066,16.4,14.3,14.31,14.31,14.31,0.89729,0.96083,0.9894,2.27,30,65,0.56
2023-03-15 14:03:20,13,ToU,0.5,No_fuzzy,Padrão A,1.14,1.19,1.24,0.027,16.4,11.9,13.51,14.99,15.76,0.76422,0.82435,0.87956,3.22,30,65,0.56
2023-03-15 14:03:21,14,ToU,0.5,Fuzzy,Padrão A,1.13,1.19,1.24,0.03,16.4,12.2,13.6,15.55,15.76,0.84909,0.88433,0.91864,3.87,30,65,0.56
2023-03-15 14:03:22,15,ToU,0.5,Taguchi,Padrão A,1.13,1.2,1.26,0.035,16.4,11.8,13.65,15.9,15.76,0.83485,0.91258,0.96369,3.24,30,65,0.56
2023-03-15 14:03:23,16,ToU,0.5,Fz_Taguchi,Padrão A,1.16,1.21,1.25,0.027,16.4,11.9,13.46,14.97,15.76,0.87408,0.93139,0.9834,3.47,30,65,0.56
2023-03-15 14:03:24,17,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,14.31,14.31,0.81144,0.86509,0.91056,3.78,39,70,0.84
2023-03-15 14:03:25,18,TC,0.0,Fuzzy,Padrão A,1.22,1.25,1.26,0.0099,16.4,14.3,14.31,14.31,14.31,0.77593,0.87616,0.91776,3.1,39,70,0.84
2023-03-15 14:03:26,19,TC,0.0,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,14.31,14.31,0.86045,0.95361,0.97997,3.21,39,70,0.84
2023-03-15 14:03:27,20,TC,0.0,Fz_Taguchi,Padrão A,1.23,1.27,1.28,0.01,16.4,14.3,14.31,14.31,14.31,0.81605,0.94042,0.98389,2.61,39,70,0.84
2023-03-15 14:03:28,21,ToU,0.5,No_fuzzy,Padrão A,1.14,1.19,1.24,0.027,16.4,11.9,13.51,14.99,15.76,0.76422,0.82435,0.87956,3.36,39,70,0.84
2023-03-15 14:03:29,22,ToU,0.5,Fuzzy,Padrão A,1.12,1.19,1.25,0.03,16.4,11.8,13.65,15.63,15.76,0.78331,0.84196,0.91602,2.77,39,70,0.84
2023-03-15 14:03:30,23,ToU,0.5,Taguchi,Padrão A,1.13,1.2,1.26,0.035,16.4,11.8,13.65,15.9,15.76,0.83485,0.91258,0.96369,2.8,39,70,0.84
2023-03-15 14:03:31,24,ToU,0.5,Fz_Taguchi,Padrão A,1.16,1.22,1.26,0.026,16.4,11.7,13.08,14.84,15.76,0.87688,0.92893,0.9795,2.98,39,70,0.84
