Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_med,target,conf_med %,t_med,temp,umidade,humor,omega,rel_alt
2023-02-22,1,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,0.98,0.0783,22.5,28.5,6.9,0.39,0
2023-02-22,2,TC,0.0,Fuzzy,Padrão B,1.21,1.24,1.27,16.0,14.5,12.7,12.7,0.85,922.0,35.9,59.0,7.2,0.6,1
2023-02-22,3,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,887.0,28.5,65.8,5.6,0.43,0
2023-02-22,4,TC,0.0,Fuzzy,Padrão B,1.22,1.26,1.27,11.0,14.5,12.7,12.7,0.91,706.0,21.7,0.3,4.3,0.39,1
2023-02-22,5,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0023,4.86,4.24,4.24,0.98,0.0749,31.3,7.9,9.7,0.47,1
2023-02-22,6,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,0.98,0.0838,28.0,93.2,4.9,0.36,1
2023-02-22,7,TC,0.0,Fuzzy,Padrão B,1.2,1.25,1.27,14.0,14.5,12.7,12.7,0.86,936.0,26.4,44.2,2.8,0.56,1
2023-02-22,8,TC,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0029,16.4,14.3,14.3,0.96,2.02,7.7,94.9,7.0,0.18,1
2023-02-22,9,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,916.0,17.5,92.5,5.7,0.16,0
2023-02-22,10,TC,0.0,Fuzzy,Padrão B,1.2,1.25,1.27,16.0,14.5,12.7,12.7,0.87,769.0,18.8,29.1,1.1,0.5,1
2023-02-22,11,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,0.98,0.0681,23.4,31.2,5.8,0.45,1
2023-02-22,12,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,0.98,77.0,38.2,11.4,7.0,0.62,0
2023-02-22,13,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0059,14.5,12.7,12.7,0.96,592.0,16.5,10.9,8.3,0.16,1
2023-02-22,14,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,0.98,0.0773,6.1,76.5,3.7,0.17,0
2023-02-22,15,TC,0.0,Fuzzy,Padrão B,1.24,1.26,1.28,0.0093,14.5,12.7,12.7,0.92,0.65,27.5,53.4,9.3,0.27,1
2023-02-22,16,TC,0.0,Fuzzy,Padrão B,1.21,1.25,1.27,13.0,14.5,12.7,12.7,0.87,817.0,24.6,3.4,5.0,0.48,1
2023-02-22,17,TC,0.0,Fuzzy,Padrão A,1.26,1.27,1.28,0.0033,16.4,14.3,14.3,0.95,2.49,25.7,66.7,9.5,0.2,1
2023-02-22,18,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,0.87,2.75,22.9,46.0,8.1,0.17,0
2023-02-22,19,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0027,4.86,4.24,4.24,0.98,0.0788,26.3,68.1,3.4,0.59,1
2023-02-22,20,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,946.0,4.0,46.7,8.8,0.16,0
2023-02-22,21,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0068,14.5,12.7,12.7,0.96,602.0,3.9,57.6,9.1,0.16,1
2023-02-22,22,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0058,14.5,12.7,12.7,0.96,612.0,16.1,97.3,8.2,0.16,1
2023-02-22,23,TC,0.0,Fuzzy,Padrão A,1.24,1.26,1.27,0.0081,16.4,14.3,14.3,0.9,2.39,29.6,51.0,5.2,0.54,1
